address,type,diameter,length
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M10x10_ISO10642.stl,Flat Head,10,10
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M10x12_ISO10642.stl,Flat Head,10,12
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M10x14_ISO10642.stl,Flat Head,10,14
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M10x16_ISO10642.stl,Flat Head,10,16
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M10x20_ISO10642.stl,Flat Head,10,20
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M10x25_ISO10642.stl,Flat Head,10,25
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M10x30_ISO10642.stl,Flat Head,10,30
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M10x35_ISO10642.stl,Flat Head,10,35
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M10x40_ISO10642.stl,Flat Head,10,40
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M10x45_ISO10642.stl,Flat Head,10,45
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M10x50_ISO10642.stl,Flat Head,10,50
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M10x55_ISO10642.stl,Flat Head,10,55
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M10x60_ISO10642.stl,Flat Head,10,60
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M10x6_ISO10642.stl,Flat Head,10,6
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M10x8_ISO10642.stl,Flat Head,10,8
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M12x10_ISO10642.stl,Flat Head,12,10
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M12x12_ISO10642.stl,Flat Head,12,12
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M12x14_ISO10642.stl,Flat Head,12,14
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M12x16_ISO10642.stl,Flat Head,12,16
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M12x20_ISO10642.stl,Flat Head,12,20
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M12x25_ISO10642.stl,Flat Head,12,25
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M12x30_ISO10642.stl,Flat Head,12,30
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M12x35_ISO10642.stl,Flat Head,12,35
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M12x40_ISO10642.stl,Flat Head,12,40
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M12x45_ISO10642.stl,Flat Head,12,45
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M12x50_ISO10642.stl,Flat Head,12,50
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M12x55_ISO10642.stl,Flat Head,12,55
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M12x60_ISO10642.stl,Flat Head,12,60
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M12x6_ISO10642.stl,Flat Head,12,6
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M12x8_ISO10642.stl,Flat Head,12,8
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M16x10_ISO10642.stl,Flat Head,16,10
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M16x12_ISO10642.stl,Flat Head,16,12
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M16x14_ISO10642.stl,Flat Head,16,14
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M16x16_ISO10642.stl,Flat Head,16,16
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M16x20_ISO10642.stl,Flat Head,16,20
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M16x25_ISO10642.stl,Flat Head,16,25
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M16x30_ISO10642.stl,Flat Head,16,30
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M16x35_ISO10642.stl,Flat Head,16,35
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M16x40_ISO10642.stl,Flat Head,16,40
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M16x45_ISO10642.stl,Flat Head,16,45
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M16x50_ISO10642.stl,Flat Head,16,50
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M16x55_ISO10642.stl,Flat Head,16,55
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M16x60_ISO10642.stl,Flat Head,16,60
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M16x6_ISO10642.stl,Flat Head,16,6
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M16x8_ISO10642.stl,Flat Head,16,8
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M20x10_ISO10642.stl,Flat Head,20,10
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M20x12_ISO10642.stl,Flat Head,20,12
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M20x14_ISO10642.stl,Flat Head,20,14
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M20x16_ISO10642.stl,Flat Head,20,16
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M20x20_ISO10642.stl,Flat Head,20,20
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M20x25_ISO10642.stl,Flat Head,20,25
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M20x30_ISO10642.stl,Flat Head,20,30
fasteners-viewer/Bolts/Flat_Head/ISO10642/STL/FlatHead_M20x35_ISO10642.stl,Flat Head,20,35
