family,type,standard,diameter,length_mm,name_stem,measured_max_len_mm,path_step,path_stl,path_fcstd
Bolts,Flat_Head,ISO10642,M4,10,FlatHead_M4x10_ISO10642,10.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M4x10_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M4x10_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M4x10_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M4,12,FlatHead_M4x12_ISO10642,12.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M4x12_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M4x12_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M4x12_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M4,16,FlatHead_M4x16_ISO10642,16.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M4x16_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M4x16_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M4x16_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M4,20,FlatHead_M4x20_ISO10642,20.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M4x20_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M4x20_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M4x20_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M4,25,FlatHead_M4x25_ISO10642,25.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M4x25_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M4x25_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M4x25_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M4,30,FlatHead_M4x30_ISO10642,30.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M4x30_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M4x30_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M4x30_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M5,12,FlatHead_M5x12_ISO10642,12.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M5x12_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M5x12_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M5x12_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M5,16,FlatHead_M5x16_ISO10642,16.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M5x16_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M5x16_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M5x16_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M5,20,FlatHead_M5x20_ISO10642,20.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M5x20_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M5x20_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M5x20_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M5,25,FlatHead_M5x25_ISO10642,25.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M5x25_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M5x25_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M5x25_ISO10642.FCStd
