family,type,standard,diameter,length_mm,name_stem,measured_max_len_mm,path_step,path_stl,path_fcstd
Bolts,Hex_Head,ISO4017,M6,16,HexHead_M6x16_ISO4017,20.0,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M6x16_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M6x16_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M6x16_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M6,20,HexHead_M6x20_ISO4017,24.0,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M6x20_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M6x20_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M6x20_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M6,25,HexHead_M6x25_ISO4017,29.0,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M6x25_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M6x25_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M6x25_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M6,30,HexHead_M6x30_ISO4017,34.0,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M6x30_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M6x30_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M6x30_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M6,35,HexHead_M6x35_ISO4017,39.0,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M6x35_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M6x35_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M6x35_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M6,40,HexHead_M6x40_ISO4017,44.0,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M6x40_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M6x40_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M6x40_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M6,50,HexHead_M6x50_ISO4017,54.0,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M6x50_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M6x50_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M6x50_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M6,60,HexHead_M6x60_ISO4017,64.0,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M6x60_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M6x60_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M6x60_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M8,16,HexHead_M8x16_ISO4017,21.3,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M8x16_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M8x16_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M8x16_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M8,20,HexHead_M8x20_ISO4017,25.3,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M8x20_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M8x20_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M8x20_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M8,25,HexHead_M8x25_ISO4017,30.3,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M8x25_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M8x25_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M8x25_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M8,30,HexHead_M8x30_ISO4017,35.3,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M8x30_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M8x30_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M8x30_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M8,35,HexHead_M8x35_ISO4017,40.3,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M8x35_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M8x35_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M8x35_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M8,40,HexHead_M8x40_ISO4017,45.3,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M8x40_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M8x40_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M8x40_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M8,50,HexHead_M8x50_ISO4017,55.3,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M8x50_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M8x50_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M8x50_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M8,60,HexHead_M8x60_ISO4017,65.3,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M8x60_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M8x60_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M8x60_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M8,80,HexHead_M8x80_ISO4017,85.3,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M8x80_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M8x80_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M8x80_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M10,20,HexHead_M10x20_ISO4017,26.4,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M10x20_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M10x20_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M10x20_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M10,25,HexHead_M10x25_ISO4017,31.4,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M10x25_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M10x25_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M10x25_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M10,30,HexHead_M10x30_ISO4017,36.4,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M10x30_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M10x30_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M10x30_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M10,35,HexHead_M10x35_ISO4017,41.4,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M10x35_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M10x35_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M10x35_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M10,40,HexHead_M10x40_ISO4017,46.4,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M10x40_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M10x40_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M10x40_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M10,50,HexHead_M10x50_ISO4017,56.4,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M10x50_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M10x50_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M10x50_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M10,60,HexHead_M10x60_ISO4017,66.4,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M10x60_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M10x60_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M10x60_ISO4017.FCStd
