family,type,standard,diameter,length_mm,name_stem,measured_max_len_mm,path_step,path_stl,path_fcstd
Bolts,Socket_Head,ISO4762,M6,16,SHCS_M6x16_ISO4762,22.0,C:\FastenersLib\Bolts\Socket_Head\ISO4762\STEP\SHCS_M6x16_ISO4762.step,C:\FastenersLib\Bolts\Socket_Head\ISO4762\STL\SHCS_M6x16_ISO4762.stl,C:\FastenersLib\Bolts\Socket_Head\ISO4762\FCStd\SHCS_M6x16_ISO4762.FCStd
Bolts,Socket_Head,ISO4762,M6,20,SHCS_M6x20_ISO4762,26.0,C:\FastenersLib\Bolts\Socket_Head\ISO4762\STEP\SHCS_M6x20_ISO4762.step,C:\FastenersLib\Bolts\Socket_Head\ISO4762\STL\SHCS_M6x20_ISO4762.stl,C:\FastenersLib\Bolts\Socket_Head\ISO4762\FCStd\SHCS_M6x20_ISO4762.FCStd
Bolts,Socket_Head,ISO4762,M6,25,SHCS_M6x25_ISO4762,31.0,C:\FastenersLib\Bolts\Socket_Head\ISO4762\STEP\SHCS_M6x25_ISO4762.step,C:\FastenersLib\Bolts\Socket_Head\ISO4762\STL\SHCS_M6x25_ISO4762.stl,C:\FastenersLib\Bolts\Socket_Head\ISO4762\FCStd\SHCS_M6x25_ISO4762.FCStd
Bolts,Socket_Head,ISO4762,M6,30,SHCS_M6x30_ISO4762,36.0,C:\FastenersLib\Bolts\Socket_Head\ISO4762\STEP\SHCS_M6x30_ISO4762.step,C:\FastenersLib\Bolts\Socket_Head\ISO4762\STL\SHCS_M6x30_ISO4762.stl,C:\FastenersLib\Bolts\Socket_Head\ISO4762\FCStd\SHCS_M6x30_ISO4762.FCStd
Bolts,Socket_Head,ISO4762,M6,35,SHCS_M6x35_ISO4762,41.0,C:\FastenersLib\Bolts\Socket_Head\ISO4762\STEP\SHCS_M6x35_ISO4762.step,C:\FastenersLib\Bolts\Socket_Head\ISO4762\STL\SHCS_M6x35_ISO4762.stl,C:\FastenersLib\Bolts\Socket_Head\ISO4762\FCStd\SHCS_M6x35_ISO4762.FCStd
Bolts,Socket_Head,ISO4762,M6,40,SHCS_M6x40_ISO4762,46.0,C:\FastenersLib\Bolts\Socket_Head\ISO4762\STEP\SHCS_M6x40_ISO4762.step,C:\FastenersLib\Bolts\Socket_Head\ISO4762\STL\SHCS_M6x40_ISO4762.stl,C:\FastenersLib\Bolts\Socket_Head\ISO4762\FCStd\SHCS_M6x40_ISO4762.FCStd
Bolts,Socket_Head,ISO4762,M6,50,SHCS_M6x50_ISO4762,56.0,C:\FastenersLib\Bolts\Socket_Head\ISO4762\STEP\SHCS_M6x50_ISO4762.step,C:\FastenersLib\Bolts\Socket_Head\ISO4762\STL\SHCS_M6x50_ISO4762.stl,C:\FastenersLib\Bolts\Socket_Head\ISO4762\FCStd\SHCS_M6x50_ISO4762.FCStd
Bolts,Socket_Head,ISO4762,M6,60,SHCS_M6x60_ISO4762,66.0,C:\FastenersLib\Bolts\Socket_Head\ISO4762\STEP\SHCS_M6x60_ISO4762.step,C:\FastenersLib\Bolts\Socket_Head\ISO4762\STL\SHCS_M6x60_ISO4762.stl,C:\FastenersLib\Bolts\Socket_Head\ISO4762\FCStd\SHCS_M6x60_ISO4762.FCStd
Bolts,Socket_Head,ISO4762,M8,16,SHCS_M8x16_ISO4762,24.0,C:\FastenersLib\Bolts\Socket_Head\ISO4762\STEP\SHCS_M8x16_ISO4762.step,C:\FastenersLib\Bolts\Socket_Head\ISO4762\STL\SHCS_M8x16_ISO4762.stl,C:\FastenersLib\Bolts\Socket_Head\ISO4762\FCStd\SHCS_M8x16_ISO4762.FCStd
Bolts,Socket_Head,ISO4762,M8,20,SHCS_M8x20_ISO4762,28.0,C:\FastenersLib\Bolts\Socket_Head\ISO4762\STEP\SHCS_M8x20_ISO4762.step,C:\FastenersLib\Bolts\Socket_Head\ISO4762\STL\SHCS_M8x20_ISO4762.stl,C:\FastenersLib\Bolts\Socket_Head\ISO4762\FCStd\SHCS_M8x20_ISO4762.FCStd
Bolts,Socket_Head,ISO4762,M8,25,SHCS_M8x25_ISO4762,33.0,C:\FastenersLib\Bolts\Socket_Head\ISO4762\STEP\SHCS_M8x25_ISO4762.step,C:\FastenersLib\Bolts\Socket_Head\ISO4762\STL\SHCS_M8x25_ISO4762.stl,C:\FastenersLib\Bolts\Socket_Head\ISO4762\FCStd\SHCS_M8x25_ISO4762.FCStd
Bolts,Socket_Head,ISO4762,M8,30,SHCS_M8x30_ISO4762,38.0,C:\FastenersLib\Bolts\Socket_Head\ISO4762\STEP\SHCS_M8x30_ISO4762.step,C:\FastenersLib\Bolts\Socket_Head\ISO4762\STL\SHCS_M8x30_ISO4762.stl,C:\FastenersLib\Bolts\Socket_Head\ISO4762\FCStd\SHCS_M8x30_ISO4762.FCStd
Bolts,Socket_Head,ISO4762,M8,35,SHCS_M8x35_ISO4762,43.0,C:\FastenersLib\Bolts\Socket_Head\ISO4762\STEP\SHCS_M8x35_ISO4762.step,C:\FastenersLib\Bolts\Socket_Head\ISO4762\STL\SHCS_M8x35_ISO4762.stl,C:\FastenersLib\Bolts\Socket_Head\ISO4762\FCStd\SHCS_M8x35_ISO4762.FCStd
Bolts,Socket_Head,ISO4762,M8,40,SHCS_M8x40_ISO4762,48.0,C:\FastenersLib\Bolts\Socket_Head\ISO4762\STEP\SHCS_M8x40_ISO4762.step,C:\FastenersLib\Bolts\Socket_Head\ISO4762\STL\SHCS_M8x40_ISO4762.stl,C:\FastenersLib\Bolts\Socket_Head\ISO4762\FCStd\SHCS_M8x40_ISO4762.FCStd
Bolts,Socket_Head,ISO4762,M8,50,SHCS_M8x50_ISO4762,58.0,C:\FastenersLib\Bolts\Socket_Head\ISO4762\STEP\SHCS_M8x50_ISO4762.step,C:\FastenersLib\Bolts\Socket_Head\ISO4762\STL\SHCS_M8x50_ISO4762.stl,C:\FastenersLib\Bolts\Socket_Head\ISO4762\FCStd\SHCS_M8x50_ISO4762.FCStd
